C:\DataLog6804_6811\20210305_111915am_DLOG.csv
LTC6804/6811-1 Daisy Chainable

               ,       ,         ,           ,         ,          ,            ,            ,             ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       , 
Elapsed Time   , Data  , ADC     , StartCells, OpenWire, Discharge, StartAux   , StartStatus, BRD#01 ADDR , CELL01, CELL02, CELL03, CELL04, CELL05, CELL06, CELL07, CELL08, CELL09, CELL10, CELL11, CELL12, GPIO1, GPIO2, GPIO3, GPIO4, GPIO5, VREF2, SOC   , ITMP  , VREGA , VREGD , 
Hrs:min:sec.mil, Point , Mode    , Command   , Isource , Remains  , Command    , Command    , 0xXX00      , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , V     , 
0000:00:00.000, 0, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0,0000, 2,2957, 2,2574, 1,6115, 2,3093, 1,7762, 0,0000, 0,0000, 0,0000, 0,0000, 0,1068, 0,1739, 3,9842, 4,0490, 0,0000, 5,0150, 5,0145, 3,0022, 9,6300, 2,2849, 4,9936, 3,2046, 
0000:00:00.493, 1, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0,0000, 2,2269, 2,1739, 1,5251, 2,2323, 1,6846, 0,0000, 0,0000, 0,0000, 0,0000, 0,0931, 0,1514, 3,9751, 4,0371, 0,0000, 4,9989, 4,9980, 3,0022, 9,7780, 2,2851, 5,0495, 3,2064, 
0000:00:00.998, 2, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0,0000, 2,2831, 2,2295, 1,5724, 2,2868, 1,7224, 0,0000, 0,0000, 0,0053, 0,0000, 0,0826, 0,1327, 3,9812, 4,0465, 0,0000, 5,0120, 5,0127, 3,0022, 9,9000, 2,2854, 5,0550, 3,2056, 
0000:00:01.513, 3, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0,0000, 2,2837, 2,2301, 1,5694, 2,2898, 1,7185, 0,0000, 0,0000, 0,0144, 0,0000, 0,0711, 0,1132, 3,9806, 4,0458, 0,0000, 5,0128, 5,0125, 3,0023, 9,8940, 2,2856, 5,0555, 3,2051, 
0000:00:02.016, 4, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0,0000, 2,2872, 2,2348, 1,5731, 2,2959, 1,7161, 0,0000, 0,0089, 0,0232, 0,0000, 0,0604, 0,0949, 3,9811, 4,0454, 0,0000, 5,0118, 5,0121, 3,0021, 9,9000, 2,2854, 5,0543, 3,2054, 
0000:00:02.516, 5, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0,0000, 2,2727, 2,2178, 1,5571, 2,2798, 1,6946, 0,0000, 0,0260, 0,0300, 0,0000, 0,0503, 0,0778, 3,9799, 4,0454, 0,0000, 5,0113, 5,0110, 3,0021, 9,8560, 2,2853, 5,0571, 3,2059, 
0000:00:03.020, 6, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0,0000, 2,2766, 2,2191, 1,5552, 2,2860, 1,6963, 0,0000, 0,0416, 0,0361, 0,0000, 0,0425, 0,0640, 3,9784, 4,0453, 0,0000, 5,0110, 5,0113, 3,0022, 9,8760, 2,2857, 5,0536, 3,2057, 
0000:00:03.520, 7, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0,0000, 2,2765, 2,2192, 1,5536, 2,2861, 1,6865, 0,0000, 0,0527, 0,0386, 0,0009, 0,0379, 0,0544, 3,9800, 4,0461, 0,0000, 5,0109, 5,0109, 3,0023, 9,8560, 2,2852, 5,0539, 3,2056, 
0000:00:04.023, 8, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0,0000, 2,2826, 2,2252, 1,5548, 2,2926, 1,6890, 0,0000, 0,0615, 0,0393, 0,0026, 0,0351, 0,0483, 3,9796, 4,0453, 0,0000, 5,0116, 5,0108, 3,0022, 9,8380, 2,2856, 5,0538, 3,2057, 
0000:00:04.513, 9, Normal  , ADCV      ,         ,          , ADAX       , ADSTAT     ,             , 0,0000, 2,2941, 2,2452, 1,5741, 2,3013, 1,7068, 0,0000, 0,0681, 0,0384, 0,0043, 0,0350, 0,0448, 3,9109, 3,9650, 0,0000, 4,9021, 4,8985, 3,0022, 9,5800, 2,2850, 4,9903, 3,2055, 
